Q101987239	A Court of Mist and Fury	Sarah J. Maas	2016	2022
Q109266172	Gender Queer: A Memoir	Maia Kobabe	2019	2023
Q109973523	All Boys Aren't Blue	George M. Johnson	2020	2021
Q112300317	His Name Is George Floyd	Robert Samuels et al.	2022	2023
Q120065301	My Shadow is Purple	Scott Stuart	2022	2023
Q126938101	Ban This Book	Alan Gratz	2017	2024
Q130268028	Wishtree	Katherine Applegate	2017	2024
Q191288	The Satanic Verses	Salman Rushdie	1988	1989
Q2032398	Oryx and Crake	Margaret Atwood	2003	2024
Q20669329	Between the World and Me	Ta-Nehisi Coates	2015	2023
Q2337685	Angels in America	Tony Kushner	1992	2023
Q2398396	And Tango Makes Three	Justin Richardson et al.	2005	2023
Q25217636	Drama	Raina Telgemeier	2012	2023
Q30078207	The Rabbits' Wedding	Garth Williams	1958	1959
Q50807677	A Day in the Life of Marlon Bundo	Jill Twiss	2018	2022
Q59696	Maus	Art Spiegelman	1986	2022
Q85788534	New Kid	Jerry Craft	2019	2021
Q85808195	The Prince and the Dressmaker	Jen Wang	2018	2022
olbp101739	The Iron Heel	Jack London	1908	1933
olbp51209	The Bible		4th century CE	2023
olbp51220	The Qur'an		7th century CE	2023
olbp84989	The 1619 Project	Nikole Hannah-Jones (ed.)	2019	2020
olbp92431	Ulysses	James Joyce	1922	1920
olbp93487	Candide	Voltaire	1759	1944
olbp93488	Family Limitation	Margaret Sanger	1914	1915
olbp93489	Leaves of Grass	Walt Whitman	1855	1881
olbp93529	Areopagitica	John Milton	1644	1644
olbp96995	Twelfth Night	William Shakespeare	1623	1996
olbp97963	Uncle Tom's Cabin	Harriet Beecher Stowe	1852	1857
olbp97968	Lysistrata	Aristophanes	411 BCE	1967
olbp97969	The Canterbury Tales	Geoffrey Chaucer	1476	1995
olbp97974	The Adventures of Huckleberry Finn	Mark Twain	1885	1998
Q971767	Beloved	Toni Morrison	1987	2013
Q3163506	I Know Why the Caged Bird Sings	Maya Angelou	1969	2025
Q1069956	The Bluest Eye	Toni Morrison	1970	2022
Q107988192	When Aidan Became a Brother	Kyle Lukoff	2019	2025
Q837934	Flowers for Algernon	Daniel Keyes	1959	2025
